household_id,travel_mode,purpose,fueltype,faretype,bus_scale,travel_year,travel_month,day_of_week,age,female,driving_license,car_ownership,distance,dur_walking,dur_cycling,dur_pt_total,pt_n_interchanges,dur_driving,cost_transit,cost_driving_total,start_time
0,3,3,4,4,2,2012,4,7,56,1,1,2,778,0.218055556,0.092222222,0.149444444,0,0.052222222,1.5,0.14,10
0,3,3,4,4,2,2012,4,7,56,1,1,2,778,0.188888889,0.061944444,0.168055556,0,0.059444444,1.5,0.15,13
0,3,3,4,4,2,2012,4,7,56,1,1,2,4562,1.037777778,0.355833333,0.412222222,0,0.236666667,1.5,0.79,17
0,3,3,4,4,2,2012,4,7,56,1,1,2,4562,1.039444444,0.384444444,0.463611111,0,0.233333333,1.5,0.78,17
0,3,3,4,2,2,2012,4,7,54,0,1,2,4562,1.037777778,0.355833333,0.391388889,0,0.229166667,1.5,0.78,19
0,3,3,4,2,2,2012,4,7,54,0,1,2,4562,1.039444444,0.384444444,0.426111111,0,0.222222222,1.5,0.77,19
0,3,3,4,1,0,2012,4,7,14,1,0,2,778,0.218055556,0.092222222,0.149444444,0,0.052222222,0.0,0.14,10
0,3,3,4,1,0,2012,4,7,14,1,0,2,778,0.188888889,0.061944444,0.168055556,0,0.059444444,0.0,0.15,13
0,3,3,4,1,0,2012,4,7,14,1,0,2,4562,1.037777778,0.355833333,0.412222222,0,0.236666667,0.0,0.79,17
0,3,3,4,1,0,2012,4,7,14,1,0,2,4562,1.039444444,0.384444444,0.426111111,0,0.222222222,0.0,0.77,19
9,3,3,4,4,2,2012,4,7,50,0,1,2,1828,0.467222222,0.144444444,0.363333333,0,0.200833333,1.5,0.48,13
9,3,3,4,4,2,2012,4,7,50,0,1,2,1828,0.469722222,0.138333333,0.304166667,0,0.207777778,1.5,0.49,14
9,3,3,4,1,0,2012,4,7,11,1,0,2,1828,0.467222222,0.144444444,0.363333333,0,0.200833333,0.0,0.48,13
9,3,3,4,1,0,2012,4,7,11,1,0,2,1828,0.469722222,0.138333333,0.304166667,0,0.207777778,0.0,0.49,14
9,3,3,4,3,0,2012,4,7,10,1,0,2,1828,0.467222222,0.144444444,0.363333333,0,0.200833333,0.0,0.48,13
9,3,3,4,3,0,2012,4,7,10,1,0,2,1828,0.469722222,0.138333333,0.304166667,0,0.207777778,0.0,0.49,14
9,3,3,4,3,0,2012,4,7,9,1,0,2,1828,0.467222222,0.144444444,0.363333333,0,0.200833333,0.0,0.48,13
9,3,3,4,3,0,2012,4,7,9,1,0,2,1828,0.469722222,0.138333333,0.304166667,0,0.207777778,0.0,0.49,14
12,3,3,4,3,0,2012,4,7,64,0,1,1,1443,0.334722222,0.114722222,0.198333333,0,0.072222222,0.0,0.24,10
12,3,4,4,3,0,2012,4,7,64,0,1,1,7835,1.823611111,0.554444444,0.759444444,1,0.355555556,0.0,1.28,11
12,3,4,4,3,0,2012,4,7,64,0,1,1,7703,1.814722222,0.615555556,0.653055556,1,0.355555556,0.0,1.35,11
12,3,3,4,3,0,2012,4,7,64,0,1,1,1274,0.297777778,0.097222222,0.148611111,0,0.0625,0.0,0.2,11
12,3,3,1,4,2,2012,4,7,56,1,1,1,1443,0.334722222,0.114722222,0.198333333,0,0.072222222,1.5,0.21,10
12,3,4,1,4,2,2012,4,7,56,1,1,1,7835,1.823611111,0.554444444,0.759444444,1,0.355555556,3.0,1.12,11
12,3,4,1,4,2,2012,4,7,56,1,1,1,7703,1.814722222,0.615555556,0.653055556,1,0.355555556,3.0,1.19,11
12,3,3,1,4,2,2012,4,7,56,1,1,1,1274,0.297777778,0.097222222,0.148611111,0,0.0625,1.5,0.17,11
12,3,3,4,4,2,2012,4,7,38,1,1,1,424,0.109166667,0.053888889,0.076944444,0,0.032222222,1.5,0.11,19
12,3,3,4,4,2,2012,4,7,38,1,1,1,424,0.113055556,0.031666667,0.077222222,0,0.017222222,1.5,0.07,19
